Function Name,Call Count,Total Time (s),Average Time (ms),Min Time (ms),Max Time (ms)
process_all_meshes,1,0.529444,529.444439,529.444439,529.444439
write_output_file_4,1,0.159469,159.468721,159.468721,159.468721
write_output_file_1,1,0.135767,135.767059,135.767059,135.767059
write_output_file_2,1,0.098016,98.016111,98.016111,98.016111
write_output_file_3,1,0.058106,58.106269,58.106269,58.106269
write_output_file_0,1,0.041328,41.327832,41.327832,41.327832
create_random_vector,150,0.036108,0.240723,0.009989,14.037962
process_iterations,5,0.035306,7.061264,1.730300,15.545213
calculate_intersections,300,0.030237,0.100791,0.000942,10.903889
show_initial_lines,5,0.001190,0.237926,0.152062,0.363259
load_meshes,1,0.000334,0.333562,0.333562,0.333562
show_final_lines,5,0.000068,0.013600,0.010099,0.018927
calculate_layers,5,0.000002,0.000417,0.000280,0.000592
