Function Name,Call Count,Total Time (s),Average Time (ms),Min Time (ms),Max Time (ms)
run_coacd_decomposition,1,62.852291,62852.291346,62852.291346,62852.291346
load_mesh,1,0.463909,463.909388,463.909388,463.909388
export_decomposed_meshes,1,0.029497,29.497147,29.497147,29.497147
export_mesh_8,1,0.001557,1.556873,1.556873,1.556873
export_mesh_9,1,0.000915,0.915289,0.915289,0.915289
export_mesh_0,1,0.000723,0.722885,0.722885,0.722885
export_mesh_18,1,0.000695,0.695467,0.695467,0.695467
export_mesh_1,1,0.000593,0.593185,0.593185,0.593185
export_mesh_4,1,0.000591,0.590801,0.590801,0.590801
export_mesh_2,1,0.000582,0.581503,0.581503,0.581503
export_mesh_3,1,0.000574,0.573874,0.573874,0.573874
convert_to_coacd_mesh,1,0.000552,0.551939,0.551939,0.551939
export_mesh_16,1,0.000533,0.532627,0.532627,0.532627
export_mesh_38,1,0.000520,0.519753,0.519753,0.519753
export_mesh_37,1,0.000515,0.515223,0.515223,0.515223
export_mesh_6,1,0.000509,0.508547,0.508547,0.508547
export_mesh_19,1,0.000504,0.503540,0.503540,0.503540
export_mesh_7,1,0.000464,0.464201,0.464201,0.464201
export_mesh_50,1,0.000463,0.463247,0.463247,0.463247
export_mesh_40,1,0.000452,0.451803,0.451803,0.451803
export_mesh_64,1,0.000450,0.449657,0.449657,0.449657
export_mesh_33,1,0.000434,0.433922,0.433922,0.433922
export_mesh_22,1,0.000432,0.432014,0.432014,0.432014
export_mesh_46,1,0.000427,0.427485,0.427485,0.427485
export_mesh_15,1,0.000426,0.425577,0.425577,0.425577
export_mesh_10,1,0.000422,0.421762,0.421762,0.421762
export_mesh_14,1,0.000421,0.421047,0.421047,0.421047
export_mesh_26,1,0.000412,0.412226,0.412226,0.412226
export_mesh_59,1,0.000409,0.408888,0.408888,0.408888
export_mesh_58,1,0.000406,0.405788,0.405788,0.405788
export_mesh_25,1,0.000405,0.404835,0.404835,0.404835
export_mesh_23,1,0.000399,0.398874,0.398874,0.398874
export_mesh_45,1,0.000396,0.395536,0.395536,0.395536
export_mesh_5,1,0.000395,0.395298,0.395298,0.395298
export_mesh_51,1,0.000388,0.387669,0.387669,0.387669
export_mesh_39,1,0.000387,0.387192,0.387192,0.387192
export_mesh_44,1,0.000386,0.386000,0.386000,0.386000
export_mesh_57,1,0.000379,0.378609,0.378609,0.378609
export_mesh_30,1,0.000378,0.378370,0.378370,0.378370
export_mesh_56,1,0.000378,0.378370,0.378370,0.378370
export_mesh_24,1,0.000378,0.378132,0.378132,0.378132
export_mesh_36,1,0.000370,0.370264,0.370264,0.370264
export_mesh_11,1,0.000368,0.367641,0.367641,0.367641
export_mesh_55,1,0.000365,0.365019,0.365019,0.365019
export_mesh_31,1,0.000365,0.364542,0.364542,0.364542
export_mesh_13,1,0.000362,0.362396,0.362396,0.362396
export_mesh_32,1,0.000362,0.362158,0.362158,0.362158
export_mesh_35,1,0.000360,0.360489,0.360489,0.360489
export_mesh_34,1,0.000360,0.359774,0.359774,0.359774
export_mesh_17,1,0.000360,0.359535,0.359535,0.359535
export_mesh_41,1,0.000358,0.357866,0.357866,0.357866
export_mesh_62,1,0.000354,0.353575,0.353575,0.353575
export_mesh_28,1,0.000352,0.352144,0.352144,0.352144
export_mesh_48,1,0.000352,0.351906,0.351906,0.351906
export_mesh_52,1,0.000349,0.348568,0.348568,0.348568
export_mesh_21,1,0.000345,0.344992,0.344992,0.344992
export_mesh_53,1,0.000344,0.343561,0.343561,0.343561
export_mesh_42,1,0.000341,0.340700,0.340700,0.340700
export_mesh_60,1,0.000340,0.339746,0.339746,0.339746
export_mesh_65,1,0.000329,0.328541,0.328541,0.328541
export_mesh_29,1,0.000323,0.323057,0.323057,0.323057
export_mesh_27,1,0.000322,0.321627,0.321627,0.321627
export_mesh_20,1,0.000321,0.321388,0.321388,0.321388
export_mesh_43,1,0.000315,0.314713,0.314713,0.314713
export_mesh_54,1,0.000314,0.314236,0.314236,0.314236
export_mesh_61,1,0.000307,0.307322,0.307322,0.307322
export_mesh_63,1,0.000306,0.306368,0.306368,0.306368
export_mesh_12,1,0.000293,0.292778,0.292778,0.292778
export_mesh_47,1,0.000281,0.281096,0.281096,0.281096
export_mesh_49,1,0.000276,0.276327,0.276327,0.276327
