Function Name,Call Count,Total Time (s),Average Time (ms),Min Time (ms),Max Time (ms)
__main__.process_mesh_layers,66,3199.060146,48470.608267,2111.083746,357260.895014
__main__.show_lines,9834,3072.777455,312.464659,0.660419,46194.049358
__main__.calculate_intersection_lines,19668,3023.032640,153.703104,0.205755,44053.974628
process_mesh_34,1,445.774847,445774.846554,445774.846554,445774.846554
process_mesh_64,1,261.486405,261486.404657,261486.404657,261486.404657
process_mesh_5,1,168.081481,168081.481218,168081.481218,168081.481218
process_mesh_32,1,167.230820,167230.820417,167230.820417,167230.820417
process_mesh_6,1,145.396044,145396.044016,145396.044016,145396.044016
process_mesh_1,1,133.409724,133409.723520,133409.723520,133409.723520
process_mesh_63,1,133.227839,133227.838755,133227.838755,133227.838755
process_mesh_13,1,127.221171,127221.170664,127221.170664,127221.170664
__main__.ensure_faces_outward,9768,121.665700,12.455538,0.747442,66.669226
process_mesh_27,1,112.061201,112061.200619,112061.200619,112061.200619
process_mesh_55,1,110.165180,110165.179729,110165.179729,110165.179729
process_mesh_19,1,109.066821,109066.821337,109066.821337,109066.821337
process_mesh_14,1,105.396781,105396.781206,105396.781206,105396.781206
process_mesh_8,1,103.798594,103798.594475,103798.594475,103798.594475
process_mesh_7,1,91.543734,91543.733835,91543.733835,91543.733835
process_mesh_31,1,90.105211,90105.211496,90105.211496,90105.211496
write_output_file_34,1,88.510340,88510.340452,88510.340452,88510.340452
process_mesh_17,1,86.077736,86077.735662,86077.735662,86077.735662
process_mesh_65,1,83.575529,83575.528622,83575.528622,83575.528622
process_mesh_41,1,73.989930,73989.930391,73989.930391,73989.930391
process_mesh_56,1,67.621519,67621.518850,67621.518850,67621.518850
process_mesh_18,1,61.845104,61845.103979,61845.103979,61845.103979
process_mesh_11,1,61.051828,61051.828146,61051.828146,61051.828146
process_mesh_23,1,60.945328,60945.328474,60945.328474,60945.328474
process_mesh_35,1,60.881811,60881.810904,60881.810904,60881.810904
process_mesh_40,1,60.663147,60663.147211,60663.147211,60663.147211
process_mesh_53,1,58.468372,58468.372107,58468.372107,58468.372107
process_mesh_12,1,56.907305,56907.304764,56907.304764,56907.304764
write_output_file_64,1,55.704921,55704.921484,55704.921484,55704.921484
__main__.create_planes,19668,45.776770,2.327475,0.025511,1951.023102
process_mesh_38,1,45.242884,45242.883921,45242.883921,45242.883921
process_mesh_54,1,42.217460,42217.459679,42217.459679,42217.459679
process_mesh_29,1,42.015501,42015.500546,42015.500546,42015.500546
process_mesh_39,1,41.880789,41880.789280,41880.789280,41880.789280
process_mesh_26,1,40.103967,40103.967190,40103.967190,40103.967190
process_mesh_37,1,36.464178,36464.178324,36464.178324,36464.178324
process_mesh_36,1,35.542784,35542.784452,35542.784452,35542.784452
process_mesh_25,1,34.425897,34425.897360,34425.897360,34425.897360
write_output_file_32,1,33.614585,33614.585400,33614.585400,33614.585400
process_mesh_15,1,33.159175,33159.174919,33159.174919,33159.174919
write_output_file_5,1,31.916327,31916.327477,31916.327477,31916.327477
write_output_file_6,1,31.391425,31391.424656,31391.424656,31391.424656
process_mesh_48,1,31.384485,31384.485245,31384.485245,31384.485245
process_mesh_21,1,29.206405,29206.405163,29206.405163,29206.405163
process_mesh_52,1,28.866707,28866.707087,28866.707087,28866.707087
write_output_file_1,1,27.502504,27502.503872,27502.503872,27502.503872
process_mesh_59,1,26.917576,26917.576075,26917.576075,26917.576075
process_mesh_33,1,26.398929,26398.929119,26398.929119,26398.929119
process_mesh_10,1,26.078562,26078.562498,26078.562498,26078.562498
process_mesh_50,1,25.503173,25503.172874,25503.172874,25503.172874
write_output_file_19,1,24.593904,24593.904257,24593.904257,24593.904257
process_mesh_49,1,24.109074,24109.074116,24109.074116,24109.074116
process_mesh_61,1,23.767303,23767.302752,23767.302752,23767.302752
process_mesh_9,1,23.189731,23189.730644,23189.730644,23189.730644
write_output_file_8,1,23.125155,23125.154734,23125.154734,23125.154734
write_output_file_13,1,23.009791,23009.790659,23009.790659,23009.790659
process_mesh_47,1,22.590502,22590.501785,22590.501785,22590.501785
process_mesh_30,1,22.422083,22422.082901,22422.082901,22422.082901
process_mesh_0,1,21.948126,21948.125839,21948.125839,21948.125839
process_mesh_51,1,21.815274,21815.274477,21815.274477,21815.274477
process_mesh_24,1,21.218752,21218.752384,21218.752384,21218.752384
process_mesh_60,1,20.312593,20312.593460,20312.593460,20312.593460
process_mesh_28,1,19.353417,19353.417158,19353.417158,19353.417158
process_mesh_46,1,19.183325,19183.325052,19183.325052,19183.325052
process_mesh_62,1,18.845612,18845.611572,18845.611572,18845.611572
write_output_file_14,1,17.699405,17699.405193,17699.405193,17699.405193
process_mesh_57,1,17.004110,17004.109621,17004.109621,17004.109621
write_output_file_65,1,16.962056,16962.055922,16962.055922,16962.055922
write_output_file_7,1,16.859927,16859.926701,16859.926701,16859.926701
write_output_file_55,1,16.747088,16747.087717,16747.087717,16747.087717
write_output_file_17,1,16.723313,16723.313093,16723.313093,16723.313093
write_output_file_63,1,15.404972,15404.972315,15404.972315,15404.972315
write_output_file_31,1,15.089515,15089.515209,15089.515209,15089.515209
write_output_file_41,1,15.001710,15001.709700,15001.709700,15001.709700
write_output_file_18,1,13.875569,13875.569105,13875.569105,13875.569105
write_output_file_56,1,13.235955,13235.955000,13235.955000,13235.955000
process_mesh_16,1,12.885029,12885.029316,12885.029316,12885.029316
write_output_file_12,1,12.805428,12805.427551,12805.427551,12805.427551
write_output_file_35,1,12.790975,12790.974855,12790.974855,12790.974855
write_output_file_23,1,12.728976,12728.975773,12728.975773,12728.975773
write_output_file_27,1,11.836279,11836.278677,11836.278677,11836.278677
write_output_file_53,1,11.663047,11663.047075,11663.047075,11663.047075
write_output_file_11,1,11.466564,11466.563940,11466.563940,11466.563940
process_mesh_3,1,11.436965,11436.965227,11436.965227,11436.965227
process_mesh_22,1,11.389653,11389.653444,11389.653444,11389.653444
process_mesh_20,1,10.803889,10803.889275,10803.889275,10803.889275
process_mesh_45,1,9.577254,9577.253819,9577.253819,9577.253819
write_output_file_40,1,9.245422,9245.421648,9245.421648,9245.421648
write_output_file_26,1,9.006560,9006.559849,9006.559849,9006.559849
write_output_file_39,1,8.552003,8552.002668,8552.002668,8552.002668
write_output_file_29,1,8.369329,8369.328737,8369.328737,8369.328737
write_output_file_38,1,8.342102,8342.102289,8342.102289,8342.102289
process_mesh_43,1,8.086527,8086.526632,8086.526632,8086.526632
write_output_file_37,1,8.027387,8027.387381,8027.387381,8027.387381
process_mesh_4,1,7.709300,7709.299564,7709.299564,7709.299564
write_output_file_54,1,7.314744,7314.744473,7314.744473,7314.744473
write_output_file_36,1,7.234492,7234.492064,7234.492064,7234.492064
process_mesh_58,1,6.687163,6687.163115,6687.163115,6687.163115
process_mesh_2,1,6.459844,6459.843874,6459.843874,6459.843874
write_output_file_15,1,6.406181,6406.181097,6406.181097,6406.181097
write_output_file_25,1,5.753259,5753.258944,5753.258944,5753.258944
write_output_file_21,1,5.705984,5705.984354,5705.984354,5705.984354
write_output_file_10,1,5.573051,5573.050737,5573.050737,5573.050737
write_output_file_48,1,5.185173,5185.173273,5185.173273,5185.173273
write_output_file_59,1,5.116054,5116.053820,5116.053820,5116.053820
write_output_file_33,1,5.011787,5011.787415,5011.787415,5011.787415
write_output_file_52,1,4.918371,4918.370962,4918.370962,4918.370962
write_output_file_49,1,4.473691,4473.691463,4473.691463,4473.691463
write_output_file_50,1,4.138098,4138.098001,4138.098001,4138.098001
write_output_file_28,1,4.133296,4133.295536,4133.295536,4133.295536
write_output_file_62,1,4.007270,4007.270098,4007.270098,4007.270098
__main__.Onion_layer,9702,3.793200,0.390971,0.172615,2.567053
write_output_file_24,1,3.767725,3767.724752,3767.724752,3767.724752
write_output_file_60,1,3.745184,3745.184422,3745.184422,3745.184422
write_output_file_61,1,3.679012,3679.012299,3679.012299,3679.012299
write_output_file_46,1,3.593725,3593.724966,3593.724966,3593.724966
